#Parameters = {cpw=120; L2=0.5; R=4; b=3; sigma_z=0.16; wakelength=100; wakelength0=10000}
#"s / cm"	"Z [Real Part]"
#------------------------
-1.3678273654985	-3.7995090480161e-21
-1.3669419618191	-4.5600207004716e-21
-1.3660565581398	-5.4663730651363e-21
-1.3651711544604	-6.5452138274126e-21
-1.3642857507810	-7.8277961801253e-21
-1.3634003471016	-9.3507241556797e-21
-1.3625149434223	-1.1156809179236e-20
-1.3616295397429	-1.3296052822042e-20
-1.3607441360635	-1.5826772401655e-20
-1.3598587323841	-1.8816887934753e-20
-1.3589733287048	-2.2345391066492e-20
-1.3580879250254	-2.6504018872035e-20
-1.3572025213460	-3.1399157349085e-20
-1.3563171176667	-3.7154002492196e-20
-1.3554317139873	-4.3911009299639e-20
-1.3545463103079	-5.1834661686270e-20
-1.3536609066285	-6.1114599647427e-20
-1.3527755029492	-7.1969143208410e-20
-1.3518900992698	-8.4649255508655e-20
-1.3510046955904	-9.9442990541091e-20
-1.3501192919110	-1.1668047567683e-19
-1.3492338882317	-1.3673948149689e-19
-1.3483484845523	-1.6005163387961e-19
-1.3474630808729	-1.8710933037846e-19
-1.3465776771935	-2.1847342096386e-19
-1.3456922735142	-2.5478171969683e-19
-1.3448068698348	-2.9675841676085e-19
-1.3439214661554	-3.4522446027987e-19
-1.3430360624761	-4.0110897913183e-19
-1.3421506587967	-4.6546181941981e-19
-1.3412652551173	-5.3946726848535e-19
-1.3403798514379	-6.2445903371334e-19
-1.3394944477586	-7.2193654669604e-19
-1.3386090440792	-8.3358265337170e-19
-1.3377236403998	-9.6128274243147e-19
-1.3368382367204	-1.1071453532023e-18
-1.3359528330411	-1.2735242876271e-18
-1.3350674293617	-1.4630422210156e-18
-1.3341820256823	-1.6786157859094e-18
-1.3332966220029	-1.9234820503819e-18
-1.3324112183236	-2.2012262427259e-18
-1.3315258146442	-2.5158104911758e-18
-1.3306404109648	-2.8716032151292e-18
-1.3297550072854	-3.2734085785730e-18
-1.3288696036061	-3.7264951609747e-18
-1.3279841999267	-4.2366227024838e-18
-1.3270987962473	-4.8100649250372e-18
-1.3262133925680	-5.4536244166892e-18
-1.3253279888886	-6.1746360429269e-18
-1.3244425852092	-6.9809520470183e-18
-1.3235571815298	-7.8808866475359e-18
-1.3226717778505	-8.8831245327142e-18
-1.3217863741711	-9.9965619031377e-18
-1.3209009704917	-1.1229936182359e-17
-1.3200155668123	-1.2591247433550e-17
-1.3191301631330	-1.4087063079373e-17
-1.3182447594536	-1.5720640598764e-17
-1.3173593557742	-1.7488485769913e-17
-1.3164739520948	-1.9383217722095e-17
-1.3155885484155	-2.1383292103090e-17
-1.3147031447361	-2.3443524832671e-17
-1.3138177410567	-2.5495272601232e-17
-1.3129323373774	-2.7456591039451e-17
-1.3120469336980	-2.9235869755589e-17
-1.3111615300186	-3.0752772104462e-17
-1.3102761263392	-3.1955153331408e-17
-1.3093907226599	-3.2817025662159e-17
-1.3085053189805	-3.3339361566388e-17
