#Parameters = {wakelength0=10000; L2=0.5; R=4; b=3; sigma_z=0.04; wakelength=100}
#"s / cm"	"Z [Real Part]"
#------------------------
-0.34195684137463	-9.7117231276363e-17
-0.34107143769525	-1.1480878444840e-16
-0.34018603401588	-1.3565205249987e-16
-0.33930063033651	-1.6019615406207e-16
-0.33841522665713	-1.8908364674818e-16
-0.33752982297776	-2.2306597241427e-16
-0.33664441929839	-2.6302121576742e-16
-0.33575901561901	-3.0997452908083e-16
-0.33487361193964	-3.6512176197155e-16
-0.33398820826027	-4.2985575106634e-16
-0.33310280458089	-5.0579504156696e-16
-0.33221740090152	-5.9482341761369e-16
-0.33133199722215	-6.9912491072594e-16
-0.33044659354277	-8.2121969031613e-16
-0.32956118986340	-9.6402150353394e-16
-0.32867578618402	-1.1309084633942e-15
-0.32779038250465	-1.3258099781296e-15
-0.32690497882528	-1.5533219182580e-15
-0.32601957514590	-1.8188372921999e-15
-0.32513417146653	-2.1286641787912e-15
-0.32424876778716	-2.4901583782915e-15
-0.32336336410778	-2.9118758499345e-15
-0.32247796042841	-3.4037520804280e-15
-0.32159255674904	-3.9773191493228e-15
-0.32070715306966	-4.6459733001783e-15
-0.31982174939029	-5.4252683464242e-15
-0.31893634571092	-6.3332472519721e-15
-0.31805094203154	-7.3908314007414e-15
-0.31716553835217	-8.6222712705104e-15
-0.31628013467280	-1.0055655846419e-14
-0.31539473099342	-1.1723509706586e-14
-0.31450932731405	-1.3663472018258e-14
-0.31362392363468	-1.5919074858518e-14
-0.31273851995530	-1.8540646004124e-14
-0.31185311627593	-2.1586358549997e-14
-0.31096771259656	-2.5123437704124e-14
-0.31008230891718	-2.9229537510957e-14
-0.30919690523781	-3.3994323761310e-14
-0.30831150155843	-3.9521287201322e-14
-0.30742609787906	-4.5929831293842e-14
-0.30654069419969	-5.3357666457375e-14
-0.30565529052031	-6.1963560684575e-14
-0.30476988684094	-7.1930484065328e-14
-0.30388448316157	-8.3469204282995e-14
-0.30299907948219	-9.6822400856120e-14
-0.30211367580282	-1.1226938446064e-13
-0.30122827212345	-1.3013150842293e-13
-0.30034286844407	-1.5077834805723e-13
-0.29945746476470	-1.7463476967970e-13
-0.29857206108533	-2.0218900128226e-13
-0.29768665740595	-2.3400185102867e-13
-0.29680125372658	-2.7071723200030e-13
-0.29591585004721	-3.1307416733688e-13
-0.29503044636783	-3.6192048123954e-13
-0.29414504268846	-4.1822841359297e-13
-0.29325963900909	-4.8311241764761e-13
-0.29237423532971	-5.5784943410332e-13
-0.29148883165034	-6.4390197039462e-13
-0.29060342797096	-7.4294437716269e-13
-0.28971802429159	-8.5689273288395e-13
-0.28883262061222	-9.8793883738082e-13
-0.28794721693284	-1.1385888461073e-12
-0.28706181325347	-1.3117071573699e-12
-0.28617640957410	-1.5105662373225e-12
-0.28529100589472	-1.7389031770898e-12
-0.28440560221535	-2.0009838554325e-12
-0.28352019853598	-2.3016757109042e-12
-0.28263479485660	-2.6465302331028e-12
-0.28174939117723	-3.0418764211795e-12
-0.28086398749786	-3.4949266042942e-12
-0.27997858381848	-4.0138962434812e-12
-0.27909318013911	-4.6081394693585e-12
-0.27820777645974	-5.2883023540025e-12
-0.27732237278036	-6.0664961819705e-12
-0.27643696910099	-6.9564932098234e-12
-0.27555156542162	-7.9739477313218e-12
-0.27466616174224	-9.1366456355966e-12
-0.27378075806287	-1.0464785956439e-11
-0.27289535438349	-1.1981298403181e-11
-0.27200995070412	-1.3712201255334e-11
-0.27112454702475	-1.5687004628845e-11
-0.27023914334537	-1.7939164617272e-11
-0.26935373966600	-2.0506594370499e-11
-0.26846833598663	-2.3432239279042e-11
-0.26758293230725	-2.6764723744895e-11
-0.26669752862788	-3.0559077914879e-11
-0.26581212494851	-3.4877554485830e-11
-0.26492672126913	-3.9790545700747e-11
-0.26404131758976	-4.5377612490896e-11
-0.26315591391039	-5.1728639365384e-11
-0.26227051023101	-5.8945129030063e-11
-0.26138510655164	-6.7141653460235e-11
-0.26049970287227	-7.6447479568557e-11
-0.25961429919289	-8.7008389143905e-11
-0.25872889551352	-9.8988715661621e-11
-0.25784349183415	-1.1257362251299e-10
-0.25695808815477	-1.2797165026312e-10
-0.25607268447540	-1.4541756310574e-10
-0.25518728079603	-1.6517552761977e-10
-0.25430187711665	-1.8754266206089e-10
-0.25341647343728	-2.1285299668949e-10
-0.25253106975790	-2.4148188927716e-10
-0.25164566607853	-2.7385094833260e-10
-0.25076026239916	-3.1043351842448e-10
-0.24987485871978	-3.5176078621494e-10
-0.24898945504041	-3.9842857761066e-10
-0.24810405136104	-4.5110492145632e-10
-0.24721864768166	-5.1053845570346e-10
-0.24633324400229	-5.7756777081857e-10
-0.24544784032292	-6.5313178704058e-10
